AtomicNumber,Element,Symbol,AtomicMass,NumberofNeutrons,NumberofProtons,NumberofElectrons,Period,Group,AtomicRadius,Electronegativity,FirstIonization,Density,MeltingPoint,BoilingPoint
40,Zirconium,Zr,91.224,51,40,40,5,4,2.2,1.33,6.6339,6.51E+00,2125.15,4682
41,Niobium,Nb,92.906,52,41,41,5,5,2.1,1.6,6.7589,8.57E+00,2741.15,5017
42,Molybdenum,Mo,95.96,54,42,42,5,6,2,2.16,7.0924,1.02E+01,2890.15,4912
43,Technetium,Tc,98,55,43,43,5,7,2,1.9,7.28,1.15E+01,2473.15,5150
44,Ruthenium,Ru,101.07,57,44,44,5,8,1.9,2.2,7.3605,1.24E+01,2523.15,4423
45,Rhodium,Rh,102.906,58,45,45,5,9,1.8,2.28,7.4589,1.24E+01,2239.15,3968
46,Palladium,Pd,106.42,60,46,46,5,10,1.8,2.2,8.3369,1.20E+01,1825.15,3236
47,Silver,Ag,107.868,61,47,47,5,11,1.8,1.93,7.5762,1.05E+01,1234.15,2435
48,Cadmium,Cd,112.411,64,48,48,5,12,1.7,1.69,8.9938,8.69E+00,594.33,1040
49,Indium,In,114.818,66,49,49,5,13,2,1.78,5.7864,7.31E+00,429.91,2345
50,Tin,Sn,118.71,69,50,50,5,14,1.7,1.96,7.3439,7.29E+00,505.21,2875
51,Antimony,Sb,121.76,71,51,51,5,15,1.5,2.05,8.6084,6.69E+00,904.05,1860
52,Tellurium,Te,127.6,76,52,52,5,16,1.4,2.1,9.0096,6.23E+00,722.8,1261
53,Iodine,I,126.904,74,53,53,5,17,1.3,2.66,10.4513,4.93E+00,386.65,457.4
54,Xenon,Xe,131.293,77,54,54,5,18,1.2,,12.1298,5.89E-03,161.45,165.03
55,Cesium,Cs,132.905,78,55,55,6,1,3.3,0.79,3.8939,1.87E+00,301.7,944
56,Barium,Ba,137.327,81,56,56,6,2,2.8,0.89,5.2117,3.59E+00,1002.15,2170
57,Lanthanum,La,138.905,82,57,57,6,3,2.7,1.1,5.5769,6.15E+00,1193.15,3737
58,Cerium,Ce,140.116,82,58,58,6,,2.7,1.12,5.5387,6.77E+00,1071.15,3716
59,Praseodymium,Pr,140.908,82,59,59,6,,2.7,1.13,5.473,6.77E+00,1204.15,3793
60,Neodymium,Nd,144.242,84,60,60,6,,2.6,1.14,5.525,7.01E+00,1289.15,3347
61,Promethium,Pm,145,84,61,61,6,,2.6,1.13,5.582,7.26E+00,1204.15,3273
